date,amount_of_bookings
2019-01-01,1
2019-01-02,1
2019-01-03,1
2019-01-04,3
2019-01-05,2
2019-01-06,1
2019-01-07,4
2019-01-08,3
2019-01-09,4
2019-01-10,3
2019-01-11,3
2019-01-12,2
2019-01-13,3
2019-01-14,0
2019-01-15,2
2019-01-16,2
2019-01-17,3
2019-01-18,2
2019-01-19,1
2019-01-20,1
2019-01-21,3
2019-01-22,2
2019-01-23,3
2019-01-24,2
2019-01-25,2
2019-01-26,1
2019-01-27,1
2019-01-28,3
2019-01-29,2
2019-01-30,1
2019-01-31,1
2019-02-01,0
2019-02-02,1
2019-02-03,2
2019-02-04,1
2019-02-05,1
2019-02-06,3
2019-02-07,3
2019-02-08,1
2019-02-09,2
2019-02-10,4
2019-02-11,3
2019-02-12,1
2019-02-13,1
2019-02-14,3
2019-02-15,3
2019-02-16,2
2019-02-17,1
